#	G1:Mov10oe	G1:Mov10oe	G1:Mov10oe	G2:control	G2:control	G2:control
#Feature	mov10oe1	mov10oe2	mov10oe3	ctrl1	ctrl2	ctrl3
ALOX15B	10	8	3	18	5	6
ALOX15P1	44	22	9	19	17	16
ALOX5	67	88	47	25	26	16
ALOX5AP	4	0	0	3	1	1
ALOXE3	16	26	11	17	16	16
ALPI	0	0	0	1	0	0
ALPK1	356	348	192	302	246	200
ALPK2	30	28	16	16	15	17
ALPK3	116	75	38	70	58	40
ALPL	146	145	74	130	101	88
ALPP	0	0	0	1	0	0
ALPPL2	2	2	2	2	4	1
ALS2	1719	1549	964	1679	1450	1129
ALS2CL	145	160	80	81	72	65
ALS2CR11	6	2	6	6	6	3
ALS2CR12	16	15	6	27	11	25
ALS2CR8	405	332	253	257	227	184
ALX1	228	227	145	193	161	147
ALX3	0	1	0	0	0	0
ALX4	456	434	258	568	458	373
ALYREF	3172	3470	1976	4308	3792	3010
AMACR	119	114	48	98	96	77
AMBN	42	37	17	74	49	29
AMBP	0	0	0	1	0	1
AMBRA1	1667	1574	899	1604	1331	1065
AMD1	6343	6085	3802	5088	4294	3195
AMDHD1	40	33	31	17	22	14
AMDHD2	249	222	136	312	262	221
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMFR	2012	1844	1131	1900	1601	1331
AMH	984	1031	525	1510	1138	1035
AMHR2	121	108	47	100	89	90
AMICA1	2	1	5	2	3	0
AMIGO1	90	94	58	107	82	55
AMIGO2	214	231	144	155	127	92
AMIGO3	198	180	92	300	285	224
AMMECR1	1847	1544	1083	2193	1840	1315
AMMECR1L	1919	1806	1066	2113	1736	1349
AMN	0	0	1	0	0	0
AMN1	378	332	204	261	225	172
AMOT	27769	24609	15273	32970	28754	21992
AMOTL1	3384	3188	1877	3185	2832	2185
AMOTL2	1073	1014	522	855	753	568
AMPD1	7	11	2	17	17	7
AMPD2	1744	1730	907	1270	1035	854
AMPD3	237	210	128	198	201	137
AMPH	311	296	185	305	243	214
AMT	65	60	40	23	22	22
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	1	0	0
AMY2B	334	247	161	214	222	177
AMZ1	3	0	0	0	0	0
AMZ2	3321	2926	1746	3496	2954	2639
AMZ2P1	683	663	410	562	450	387
ANAPC1	2000	1837	1127	1891	1659	1184
ANAPC10	491	439	295	381	322	257
ANAPC11	1416	1537	724	1583	1181	985
ANAPC13	2085	1880	1120	1994	1570	1233
ANAPC16	2437	2158	1246	2520	2189	1656
ANAPC2	836	824	434	831	703	577
ANAPC4	1029	886	575	953	873	652
ANAPC5	4332	4070	2203	4704	3985	3127
ANAPC7	2940	2560	1513	3475	2919	2203
ANG	89	75	37	63	50	33
ANGEL1	1471	1396	790	1483	1253	982
ANGEL2	1488	1311	863	2003	1879	1249
ANGPT1	15	15	5	6	8	2
ANGPT2	7	8	3	19	23	15
ANGPT4	0	0	0	0	0	0
ANGPTL1	3	4	1	3	4	3
ANGPTL2	14	22	13	11	9	8
ANGPTL3	0	0	0	0	0	0
ANGPTL4	4	2	0	2	1	0
ANGPTL5	1	0	0	0	0	0
ANGPTL6	12	19	7	13	11	5
ANGPTL7	0	0	0	0	0	0
ANK1	127	111	56	66	74	44
ANK2	1720	1574	918	1059	972	793
ANK3	1815	1564	1068	1817	1528	1133
ANKAR	167	130	86	131	139	85
ANKDD1A	39	38	28	28	22	22
ANKFN1	1	1	1	3	0	0
ANKFY1	3276	2865	1713	3362	3003	2296
ANKH	2189	2177	1147	2185	1836	1425
ANKHD1	491	443	249	384	345	254
ANKHD1-EIF4EBP3	49	48	30	52	45	38
ANKIB1	1709	1455	964	1784	1525	1117
ANKK1	3	5	2	2	0	1
ANKLE1	49	62	32	49	58	39
ANKLE2	3015	2825	1685	3369	2721	2169
ANKMY1	173	173	78	230	181	140
ANKMY2	820	710	450	713	592	452
ANKRA2	837	791	472	644	536	448
ANKRD1	133	106	65	89	80	57
ANKRD10	957	923	543	1107	950	815
ANKRD11	2574	2367	1394	2827	2437	2001
ANKRD12	967	839	642	826	703	541
ANKRD13A	1500	1397	796	1487	1233	962
ANKRD13B	972	976	496	1022	831	741
ANKRD13C	1717	1548	1093	1614	1305	1037
ANKRD13D	508	482	221	482	435	316
ANKRD16	206	226	137	204	183	145
